type,term,level,pos,definition_url,voice_url
word,accidentally,b2,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accidentally,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accid/accidentally__us_1.ogg
word,accommodate,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accommodate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodate__us_1.ogg
word,accommodation,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accommodation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accommodation__us_2.ogg
word,accompany,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accompany__us_2.ogg
word,accomplish,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplish__us_1.ogg
word,accomplishment,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accom/accomplishment__us_1.ogg
word,accordance,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordance__us_1.ogg
word,according to,a2,preposition,https://www.oxfordlearnersdictionaries.com/definition/english/according-to,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/according_to_1_us_3.ogg
word,accordingly,c1,adverb,https://www.oxfordlearnersdictionaries.com/definition/english/accordingly,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accor/accordingly__us_1.ogg
word,account,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/account_1,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
word,account,b2,verb,https://www.oxfordlearnersdictionaries.com/definition/english/account_2,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/account__us_1.ogg
word,accountability,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountability__us_1.ogg
word,accountable,c1,adjective,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountable__us_1.ogg
word,accountant,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accountant,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accountant__us_1.ogg
word,accounting,b1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accounting,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accou/accounting__us_1.ogg
word,accumulate,c1,verb,https://www.oxfordlearnersdictionaries.com/definition/english/accumulate,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulate__us_1.ogg
word,accumulation,c1,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accum/accumulation__us_1.ogg
word,accuracy,b2,noun,https://www.oxfordlearnersdictionaries.com/definition/english/accuracy,https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/a/acc/accur/accuracy__us_1.ogg
